Date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2023-03-28,157.64999389648438,238.47999572753906,158.62237548828125,204.9600067138672,218.97140502929688,192.3000030517578,50.01431655883789,159.49000549316406,94.81999969482422,52.90999984741211,318.44000244140625,280.82000732421875,187.9199981689453,129.33999633789062,29.290000915527344,151.82000732421875,127.87642669677734,61.41999816894531,275.8500061035156,101.73999786376953,105.52999877929688,275.2300109863281,117.87000274658203,145.44937133789062,165.8800048828125,472.5799865722656,220.3300018310547,37.381351470947266,33.81999969482422,143.61000061035156
2023-03-29,160.77000427246094,241.02999877929688,162.98619079589844,207.97000122070312,221.7960662841797,196.63999938964844,50.78849792480469,160.86000061035156,96.87000274658203,53.599998474121094,320.7200012207031,283.3599853515625,189.07000732421875,129.7100067138672,31.520000457763672,153.30999755859375,128.1343994140625,61.86000061035156,277.44000244140625,103.19000244140625,104.91999816894531,280.510009765625,120.48999786376953,145.8965606689453,169.86000061035156,466.5899963378906,223.3000030517578,37.85353469848633,34.150001525878906,144.22999572753906
2023-03-30,162.36000061035156,241.5,161.81056213378906,211.0399932861328,223.32774353027344,196.60000610351562,51.04656219482422,162.38999938964844,98.0999984741211,54.0,321.1400146484375,285.3599853515625,189.1199951171875,129.22000122070312,32.09000015258789,153.42999267578125,127.7474365234375,61.849998474121094,277.7900085449219,102.77999877929688,105.91999816894531,284.04998779296875,120.0999984741211,146.53257751464844,170.82000732421875,470.05999755859375,222.36000061035156,38.03060531616211,34.630001068115234,145.6699981689453
2023-03-31,164.89999389648438,241.75,164.34117126464844,212.42999267578125,227.6045379638672,199.77999877929688,51.89022445678711,163.16000366210938,100.12999725341797,54.81999969482422,327.1099853515625,295.1199951171875,191.1199951171875,131.08999633789062,32.66999816894531,155.0,129.2952880859375,62.029998779296875,279.6099853515625,105.11000061035156,106.38999938964844,288.29998779296875,122.63999938964844,147.76486206054688,171.41000366210938,472.5899963378906,225.4600067138672,38.25686264038086,34.58000183105469,147.4499969482422
2023-04-03,166.1699981689453,244.44000244140625,163.1754913330078,215.38999938964844,228.62896728515625,196.49000549316406,51.92000198364258,169.9499969482422,99.76000213623047,55.33000183105469,326.5199890136719,297.7300109863281,193.27999877929688,132.05999755859375,32.88999938964844,156.85000610351562,129.14645385742188,62.400001525878906,282.1400146484375,104.56999969482422,108.87000274658203,287.2300109863281,121.66999816894531,148.5797576904297,172.2899932861328,494.19000244140625,229.0,38.58148956298828,35.459999084472656,148.69000244140625
2023-04-04,165.6300048828125,247.52999877929688,161.95999145507812,213.89999389648438,216.27603149414062,197.1999969482422,51.81999969482422,169.0399932861328,99.56999969482422,54.2599983215332,322.6499938964844,294.9599914550781,190.94000244140625,131.60000610351562,33.099998474121094,158.49000549316406,127.41999816894531,62.209999084472656,282.2799987792969,102.25,108.83000183105469,287.17999267578125,123.69000244140625,149.2952880859375,168.6300048828125,493.25,227.66000366210938,39.00448989868164,35.849998474121094,147.22999572753906
2023-04-05,163.75999450683594,253.3699951171875,161.0800018310547,210.0,212.377197265625,195.30999755859375,51.81999969482422,169.8800048828125,99.91000366210938,54.63999938964844,321.5299987792969,288.6700134277344,189.42999267578125,132.13999938964844,32.83000183105469,165.61000061035156,127.61000061035156,62.79999923706055,282.0199890136719,102.29000091552734,111.91000366210938,284.3399963378906,120.9000015258789,150.31887817382812,170.30999755859375,509.2300109863281,228.1699981689453,39.457000732421875,36.119998931884766,149.6699981689453
2023-04-06,164.66000366210938,253.32000732421875,158.8300018310547,211.3699951171875,208.0407257080078,192.5500030517578,51.27000045776367,167.64999389648438,99.97000122070312,54.65999984741211,322.3999938964844,288.6099853515625,190.4600067138672,130.5,32.810001373291016,165.14999389648438,127.47000122070312,62.84000015258789,282.8900146484375,101.55999755859375,112.33000183105469,291.6000061035156,120.22000122070312,151.2729034423828,171.27000427246094,512.8099975585938,225.99000549316406,39.47999954223633,35.779998779296875,150.8000030517578
2023-04-10,162.02999877929688,250.89999389648438,161.13999938964844,210.77999877929688,214.36639404296875,191.49000549316406,51.33000183105469,168.2899932861328,100.80999755859375,55.810001373291016,324.9599914550781,291.1700134277344,191.67999267578125,131.02999877929688,32.52000045776367,164.32000732421875,127.88999938964844,62.689998626708984,283.7799987792969,102.76000213623047,112.61000061035156,289.3900146484375,121.91000366210938,150.020751953125,172.64999389648438,515.1799926757812,226.42999267578125,39.349998474121094,36.099998474121094,150.50999450683594
2023-04-11,160.8000030517578,251.42999267578125,161.8300018310547,212.32000732421875,219.40902709960938,188.88999938964844,50.619998931884766,169.22000122070312,100.41999816894531,56.189998626708984,327.3699951171875,293.7699890136719,192.19000244140625,130.4199981689453,32.349998474121094,164.27000427246094,128.52000427246094,62.58000183105469,284.4800109863281,104.55999755859375,112.48999786376953,282.8299865722656,123.30000305175781,149.7226104736328,173.5500030517578,520.969970703125,228.4499969482422,39.45000076293945,36.310001373291016,150.07000732421875
2023-04-12,160.10000610351562,249.5,159.2899932861328,212.33999633789062,219.30955505371094,190.32000732421875,50.11000061035156,169.82000732421875,97.94000244140625,56.88999938964844,330.239990234375,290.44000244140625,193.22999572753906,128.5399932861328,32.02000045776367,163.9199981689453,128.5,62.689998626708984,285.29998779296875,104.37000274658203,113.75,283.489990234375,123.66000366210938,150.13006591796875,173.83999633789062,521.1900024414062,227.80999755859375,39.20000076293945,35.689998626708984,149.33999633789062
