Date,ACOPF,ATVI,BAM,BOOM,BTC-USD,CAR,CMCSA,CMG,CRMA2,CVE,DIS,DKS,DOGE-USD,DOLE,DSHK,ETH-USD,FUN,GME,GO,GOLF,HEMP,K,LOGI,LUV,MODG,MPC,MSFT,MWA,NCBDY,NDLS,NKE,NOC,NTDOY,NTES,NVDA,RBLX,SEAS,SFY,SIX,SONY,SPCE,TOYOF,WOOF,YUM
4/4/2023,3.914999962,85.11000061,31.78000069,20.82999992,28168.08984,187.8600006,37.77000046,1734.839966,2.29,18.62999916,99.56999969,143.0399933,0.095159002,11.84000015,0.349999994,1871.005127,45.50999832,22.35000038,28,50.11000061,0.0002,67.29000092,57.49000168,31.71999931,21.45999908,125.8199997,287.1799927,13.27000046,10.86999989,4.960000038,123.6900024,468.1000061,10.18000031,90.29000092,274.5299988,46.29000092,60.54000092,14.39999962,26.37000084,91.01000214,3.430000067,14.10000038,8.81000042,131.6000061
4/5/2023,3.914999962,85.37999725,31.60000038,20.12000084,28177.98438,177.8800049,37.91999817,1697.420044,2.38,18.37999916,99.91000366,139.9900055,0.092817001,11.81000042,0.349999994,1909.114014,45.5,22.06999969,27.76000023,48.56000137,0.0002,68.02999878,56.68999863,31.57999992,20.84000015,132.7100067,284.3399963,13.07999992,10.81400013,4.71999979,120.9000015,470.9100037,9.93999958,88.62999725,268.8099976,45.38999939,58.50999832,14.34500027,25.47999954,89.65000153,3.190000057,14.10000038,8.529999733,131.9400024
4/6/2023,3.914999962,85.22000122,31.62000084,20.07999992,28044.14063,181.4400024,37.68999863,1685.209961,2.39,17.78000069,99.97000122,137.9400024,0.085412003,11.78999996,0.330000013,1872.922607,45.04000092,22.39999962,27.78000069,49.11000061,0.0002,67.98999786,57.02000046,31.59000015,20.70000076,128.6799927,291.6000061,13.06000042,10.92000008,4.710000038,120.2200012,470.3900146,10,89.76000214,270.3699951,46.20000076,58.25999832,14.38000011,25.42000008,88.16999817,3.150000095,13.89999962,8.590000153,132.1000061
4/10/2023,3.914999962,85.48000336,31.54999924,20.22999954,29652.98047,190.6900024,38.22999954,1691.560059,2.6,17.78000069,100.8099976,137.1000061,0.084852003,11.88000011,0.340000004,1911.20752,45.11999893,22.37000084,28.87999916,49.97999954,0.0002,67.77999878,57.09000015,32.16999817,21.70999908,131.2400055,289.3900146,13.25,10.85000038,4.929999828,121.9100037,476.5400085,10.27000046,89.01999664,275.7900085,46.43000031,58.11999893,14.39999962,26.34000015,88.51000214,3.460000038,13.78999996,9.06000042,131.1000061
4/11/2023,3.849999905,85.08999634,31.84000015,20.09000015,30235.05859,195.0399933,38.38000107,1714.060059,2.51,18.03000069,100.4199982,139.0700073,0.084237002,11.97000027,0.360000014,1892.189697,45.11999893,22.69000053,29.71999931,50.65999985,0.0002,68.37999725,56.68000031,32.70999908,22.51000023,132.1900024,282.8299866,13.52999973,10.82999992,5.070000172,123.3000031,468.269989,10.10000038,89,271.6900024,46.06000137,59.11000061,14.4119997,26.71999931,88.91000366,3.579999924,13.75,9.239999771,131.5700073
4/12/2023,3.849999905,84.94999695,32.11999893,19.63999939,30139.05273,184.8699951,37.63999939,1695.77002,2.51,18.05999947,97.94000244,137.6799927,0.083433002,12,0.340000004,1920.682129,43.33000183,22.26000023,29.44000053,50.70999908,0.0002,68.37000275,57.02999878,32.24000168,22.34000015,130.2200012,283.4899902,13.56000042,10.8920002,4.989999771,123.6600037,472.769989,10.21000004,88.04000092,264.9500122,45.20000076,56.61999893,14.34000015,25.79999924,89.44000244,3.269999981,13.67000008,9.239999771,131.9799957
4/13/2023,3.849999905,85.58000183,33.52000046,19.96999931,30399.06641,181.1699982,38.04999924,1717.890015,2.56,17.85000038,100.8399963,137.8999939,0.087484002,12.22000027,0.370000005,2012.634644,42.40000153,22.54999924,28.17000008,49.68000031,0.0002,67.84999847,58.08000183,32.20999908,22.37999916,130.4799957,289.8399963,13.56000042,11.11999989,5.210000038,126.4300003,474.1600037,10.19999981,90.05999756,264.6300049,45.70000076,58.27999878,14.53999996,26.36000061,90.48999786,3.450000048,13.71000004,9.340000153,134.6600037
4/14/2023,3.849999905,85.26999664,33.49000168,19.62999916,30485.69922,177.8200073,37.95999908,1738.300049,2.74,17.54000092,99.90000153,139.4400024,0.088785,12.10000038,0.349999994,2101.635498,40.93999863,22.45999908,27.85000038,49.20000076,0.0003,67,58.63999939,31.67000008,22.39999962,130.7799988,286.1400146,13.55000019,11,5.159999847,125.9499969,472.5700073,10.22000027,90.44000244,267.5799866,45.70000076,57.09000015,14.52000046,26.03000069,90.86000061,3.329999924,13.57999992,9.539999962,134.8800049
4/17/2023,3.779999971,85.5,33.15000153,19.56999969,29445.04492,183.2200012,38.09000015,1775,2.96,17.70000076,100.3000031,140.1999969,0.091449,12.19999981,0.330000013,2076.24292,40.97000122,22.28000069,28.53000069,49.45999908,0.0002,67.62000275,59.31000137,32.31000137,22.29000092,129.3000031,288.7999878,13.68999958,10.99699974,5.090000153,126.1900024,474.7900085,10.17000008,94.5,270.019989,40.20999908,56.09999847,14.53999996,25.29000092,91.15000153,3.470000029,13.69999981,9.630000114,137.1000061
4/18/2023,3.900000095,85.55000305,32.93999863,19.62000084,30397.55273,178.1999969,38.27000046,1778.459961,2.98,17.93000031,100.9300003,142.5599976,0.093989,12.25,0.319999993,2104.537354,41.66999817,21.61000061,28.29999924,49.99000168,0.0002,67.76000214,59.31999969,32.06000137,22.64999962,129.0599976,288.3699951,13.59000015,11.19999981,4.960000038,126.2099991,479.4700012,10.30000019,92.55000305,276.6700134,40.81000137,55.72999954,14.56000042,25.54999924,91.30999756,3.529999971,13.68999958,9.630000114,137.5800018
