Date,ACOPF,ATVI,BAM,BOOM,BTC-USD,CAR,CMCSA,CMG,CVE,DIS,DKS,DOGE-USD,DOLE,DSHK,ETH-USD,FUN,GME,GO,GOLF,HEMP,K,LOGI,LUV,MODG,MPC,MSFT,MWA,NCBDY,NDLS,NKE,NOC,NTDOY,NTES,NVDA,PLBY,RBLX,SEAS,SFY,SIX,SONY,SPCE,TOYOF,WOOF,YUM
2022-12-01,4.2779998779296875,75.19000244140625,31.698379516601562,18.639999389648438,16967.1328125,218.57000732421875,35.725223541259766,1625.8299560546875,19.480545043945312,98.58999633789062,116.2284164428711,0.10158400237560272,10.307765007019043,0.4399999976158142,1276.27392578125,41.166561126708984,26.600000381469727,30.56999969482422,46.18169403076172,0.00039999998989515007,72.56026458740234,61.88999938964844,39.661746978759766,21.5,119.52903747558594,254.0536651611328,11.63840103149414,10.896666526794434,5.619999885559082,110.45504760742188,528.3736572265625,10.579999923706055,68.03010559082031,171.32090759277344,3.7100000381469727,33.38999938964844,56.86000061035156,14.257844924926758,24.030000686645508,83.94000244140625,5.199999809265137,14.760000228881836,11.09000015258789,128.5980682373047
2022-12-02,4.420000076293945,75.76000213623047,32.698856353759766,18.469999313354492,17088.66015625,217.27999877929688,35.3116455078125,1604.8800048828125,19.768043518066406,99.43000030517578,117.88019561767578,0.10214799642562866,10.26834774017334,0.49000000953674316,1294.3033447265625,40.7790412902832,27.520000457763672,30.649999618530273,46.69969177246094,0.0005000000237487257,73.18476867675781,62.7400016784668,39.33518981933594,22.020000457763672,117.54069519042969,254.38284301757812,11.698136329650879,10.783332824707031,5.539999961853027,111.8809814453125,543.6181030273438,10.5600004196167,70.67156982421875,168.73133850097656,4.260000228881836,33.9900016784668,56.63999938964844,14.218184471130371,23.81999969482422,82.79000091552734,5.139999866485596,14.640000343322754,11.210000038146973,129.0858154296875
2022-12-05,4.420000076293945,76.33000183105469,32.6295166015625,17.5,16974.826171875,196.4499969482422,34.61250305175781,1570.6099853515625,18.994770050048828,95.93000030517578,113.97328186035156,0.10147400200366974,10.219074249267578,0.5099999904632568,1259.6767578125,39.74565505981445,25.559999465942383,29.5,46.191650390625,0.00039999998989515007,72.7089614868164,61.31999969482422,39.087799072265625,21.549999237060547,111.79438781738281,249.57489013671875,11.538843154907227,10.748000144958496,5.440000057220459,109.3083267211914,539.4632568359375,10.34000015258789,68.79762268066406,166.07179260253906,4.119999885559082,31.239999771118164,55.540000915527344,13.930648803710938,22.969999313354492,81.61000061035156,5.119999885559082,14.260000228881836,10.979999542236328,130.3101806640625
2022-12-06,4.420000076293945,76.11000061035156,31.698379516601562,16.959999084472656,17089.50390625,194.07000732421875,34.238311767578125,1508.4000244140625,18.27106475830078,92.29000091552734,115.29866027832031,0.10027799755334854,10.258492469787598,0.47999998927116394,1271.65380859375,39.57673645019531,23.389999389648438,29.540000915527344,46.351036071777344,0.00039999998989515007,72.43140411376953,59.97999954223633,39.26591873168945,21.8700008392334,108.65281677246094,244.507568359375,11.3297700881958,10.75333309173584,5.159999847412109,107.62313079833984,529.8782348632812,10.430000305175781,67.990234375,159.8428497314453,4.300000190734863,30.649999618530273,55.08000183105469,13.712516784667969,22.260000228881836,79.47000122070312,4.619999885559082,14.069999694824219,10.239999771118164,130.02149963378906
2022-12-07,4.260000228881836,75.93000030517578,32.698856353759766,16.799999237060547,16848.126953125,189.94000244140625,34.090606689453125,1509.4599609375,18.132272720336914,92.1500015258789,117.20761108398438,0.09578300267457962,10.051548957824707,0.49000000953674316,1232.4375,39.37800979614258,22.260000228881836,28.600000381469727,47.5563850402832,0.0005000000237487257,73.2442398071289,59.56999969482422,37.415435791015625,22.110000610351562,108.364501953125,243.7594451904297,11.399460792541504,10.609999656677246,5.119999885559082,108.02198791503906,538.2477416992188,10.510000228881836,68.17961883544922,161.17262268066406,3.8499999046325684,30.770000457763672,52.849998474121094,13.672856330871582,20.93000030517578,79.04000091552734,4.579999923706055,14.149999618530273,10.270000457763672,127.68228149414062
2022-12-08,4.300000190734863,74.76000213623047,31.698379516601562,16.90999984741211,17233.474609375,185.99000549316406,34.43525314331055,1531.0,17.864601135253906,92.55000305175781,121.0691146850586,0.09854000061750412,10.258492469787598,0.5099999904632568,1281.1163330078125,39.42768859863281,24.790000915527344,28.639999389648438,48.21384811401367,0.00039999998989515007,72.81800079345703,60.18000030517578,37.09877395629883,22.209999084472656,108.21537780761719,246.78187561035156,11.479107856750488,10.729999542236328,5.070000171661377,111.04337310791016,538.58642578125,10.4399995803833,70.9805679321289,171.6608428955078,3.8499999046325684,31.93000030517578,53.38999938964844,13.781922340393066,20.979999542236328,79.19000244140625,4.679999828338623,14.220000267028809,10.59000015258789,129.25503540039062
2022-12-09,4.389999866485596,75.16000366210938,31.698379516601562,15.880000114440918,17133.15234375,182.5399932861328,34.779903411865234,1526.260009765625,17.56718635559082,93.37999725341797,118.44710540771484,0.0966619998216629,10.238784790039062,0.49000000953674316,1264.2847900390625,39.934444427490234,22.6299991607666,28.540000915527344,47.665958404541016,0.00039999998989515007,71.7077865600586,60.09000015258789,37.61334228515625,21.90999984741211,106.20716094970703,244.80682373046875,11.34968090057373,10.926667213439941,5.320000171661377,109.10888671875,527.0186157226562,10.390000343322754,69.94391632080078,169.9811248779297,3.9100000858306885,31.649999618530273,52.720001220703125,13.682771682739258,21.350000381469727,80.37999725341797,4.650000095367432,14.40999984741211,10.510000228881836,127.12483978271484
2022-12-12,4.414999961853027,77.36000061035156,32.09461212158203,15.989999771118164,17206.4375,188.0,35.961551666259766,1561.199951171875,17.676239013671875,94.66000366210938,121.5359115600586,0.09025800228118896,10.199366569519043,0.5,1274.6190185546875,40.19279479980469,22.670000076293945,29.559999465942383,47.28742218017578,0.0003000000142492354,73.39292907714844,61.0099983215332,38.53363800048828,21.989999771118164,110.5616226196289,251.8791046142578,11.508975982666016,10.886667251586914,5.380000114440918,111.75135803222656,533.2359619140625,10.34000015258789,69.12655639648438,175.3202362060547,4.010000228881836,33.31999969482422,53.9900016784668,13.861242294311523,21.8700008392334,80.18000030517578,4.769999980926514,14.369999885559082,10.579999923706055,129.04600524902344
2022-12-13,4.574999809265137,76.7300033569336,30.470067977905273,17.0,17781.318359375,189.4600067138672,36.14864730834961,1548.3199462890625,18.241321563720703,94.69999694824219,114.0572280883789,0.09093999862670898,10.465435981750488,0.47999998927116394,1320.5491943359375,40.063621520996094,21.0,29.709999084472656,47.16788101196289,0.00039999998989515007,73.01625061035156,62.779998779296875,37.375850677490234,21.850000381469727,110.4721450805664,256.2781066894531,11.60853385925293,10.920000076293945,5.519999980926514,112.52913665771484,523.6808471679688,10.390000343322754,69.76449584960938,180.68931579589844,3.9700000286102295,32.25,54.709999084472656,13.960392951965332,22.31999969482422,80.98999786376953,4.710000038146973,14.460000038146973,10.699999809265137,129.55364990234375
2022-12-14,4.699999809265137,77.04000091552734,29.221942901611328,16.979999542236328,17815.650390625,191.6300048828125,34.80944061279297,1538.2900390625,18.39862823486328,94.1500015258789,116.19257354736328,0.08851400017738342,10.16980266571045,0.23999999463558197,1309.3287353515625,39.785400390625,21.049999237060547,30.510000228881836,45.50430679321289,0.0003000000142492354,73.07572937011719,61.900001525878906,37.74198913574219,21.579999923706055,110.29319763183594,256.5773620605469,11.439284324645996,10.770000457763672,5.440000057220459,111.13311767578125,529.8483276367188,10.489999771118164,72.74486541748047,176.70999145507812,4.050000190734863,33.130001068115234,54.11000061035156,13.881072998046875,21.950000762939453,81.2300033569336,4.579999923706055,14.479999542236328,10.579999923706055,130.61875915527344
