Date,Close/Last,Volume,Open,High,Low
01/25/2023,$20.23,3515791,$20.59,$20.84,$19.53
01/24/2023,$21.40,2381588,$21.30,$22.09,$21.00
01/23/2023,$21.66,7181508,$19.50,$22.49,$19.37
01/20/2023,$19.61,3564322,$19.05,$20.0699,$18.90
01/19/2023,$19.04,4519163,$20.44,$20.45,$18.82
01/18/2023,$20.79,5632161,$22.01,$22.15,$20.50
01/17/2023,$21.80,5407905,$20.49,$21.94,$20.37
01/13/2023,$20.49,5494405,$19.88,$21.11,$19.80
01/12/2023,$20.63,5877276,$19.04,$20.63,$18.34
01/11/2023,$19.04,8405821,$18.19,$20.05,$17.86
01/10/2023,$17.77,4402799,$16.30,$18.09,$16.25
01/09/2023,$16.38,3522596,$16.65,$17.13,$16.36
01/06/2023,$16.46,4823357,$16.00,$16.57,$15.41
01/05/2023,$16.22,6066158,$17.06,$17.26,$15.89
01/04/2023,$17.32,3939325,$17.25,$17.93,$16.90
01/03/2023,$17.20,5135191,$18.64,$19.26,$17.091
12/30/2022,$18.46,2669548,$17.95,$18.575,$17.90
12/29/2022,$18.33,3442757,$18.12,$18.57,$17.75
12/28/2022,$17.92,5671992,$18.29,$18.70,$16.98
12/27/2022,$18.20,4233045,$19.91,$19.99,$18.00
12/23/2022,$20.08,3174827,$20.00,$20.63,$19.65
12/22/2022,$19.81,5343087,$20.50,$20.50,$18.50
12/21/2022,$20.56,2793559,$20.40,$20.90,$20.18
12/20/2022,$20.26,4478987,$19.86,$21.32,$19.6238
12/19/2022,$19.92,3700556,$20.55,$20.89,$19.5925
12/16/2022,$20.80,9379717,$20.48,$21.115,$20.01
12/15/2022,$20.58,6444512,$20.74,$21.44,$20.24
12/14/2022,$21.05,4604808,$21.19,$22.00,$21.01
12/13/2022,$21.00,6305646,$23.55,$23.70,$20.825
12/12/2022,$22.67,3750805,$22.66,$23.15,$22.18
12/09/2022,$22.63,5326676,$24.59,$24.59,$22.59
12/08/2022,$24.79,10252000,$22.00,$25.00,$21.97
12/07/2022,$22.26,10078220,$23.40,$23.61,$21.97
12/06/2022,$23.39,7699321,$25.41,$25.5761,$23.11
12/05/2022,$25.56,4973747,$27.31,$27.48,$25.44
12/02/2022,$27.52,4577177,$26.25,$27.87,$26.11
12/01/2022,$26.60,7615154,$26.00,$27.50,$25.18
11/30/2022,$26.21,3731072,$25.90,$26.23,$24.91
11/29/2022,$25.60,2029480,$25.58,$26.35,$25.32
11/28/2022,$25.29,2453744,$25.79,$26.44,$25.2101
11/25/2022,$26.17,1122700,$26.50,$27.05,$26.14
11/23/2022,$26.70,2737491,$25.92,$27.14,$25.92
11/22/2022,$26.30,4240402,$25.13,$26.45,$24.70
11/21/2022,$25.16,4443252,$26.66,$27.83,$24.855
11/18/2022,$27.60,3087420,$28.16,$28.6999,$26.83
11/17/2022,$27.76,2477693,$26.30,$27.76,$26.15
11/16/2022,$27.14,2452335,$26.62,$27.35,$26.37
11/15/2022,$27.59,5391975,$26.59,$28.24,$26.27
11/14/2022,$26.05,4350537,$26.30,$27.38,$25.61
11/11/2022,$26.10,3986182,$24.78,$26.12,$24.15
11/10/2022,$24.88,6106952,$24.62,$25.6969,$23.91
11/09/2022,$23.11,8464777,$24.55,$24.67,$21.89
11/08/2022,$25.14,4695117,$25.33,$25.85,$24.11
11/07/2022,$25.76,3303627,$26.25,$26.30,$24.80
11/04/2022,$26.51,4137984,$26.60,$27.03,$25.34
11/03/2022,$26.29,3384428,$26.00,$27.285,$26.00
11/02/2022,$26.62,4143900,$27.90,$28.75,$26.50
11/01/2022,$28.39,5147499,$29.40,$29.69,$27.62
10/31/2022,$28.31,24027610,$31.22,$34.99,$27.91
10/28/2022,$28.17,8089647,$26.88,$28.79,$26.42
10/27/2022,$25.93,2422933,$25.75,$26.33,$25.20
10/26/2022,$25.42,3866779,$26.37,$27.48,$25.32
10/25/2022,$26.87,7791571,$24.815,$27.79,$24.80
10/24/2022,$24.71,3114308,$25.00,$25.19,$24.11
10/21/2022,$25.30,3036299,$24.15,$25.33,$24.10
10/20/2022,$24.41,5148627,$24.65,$25.449,$24.07
10/19/2022,$24.54,5318442,$26.00,$26.18,$24.27
10/18/2022,$26.67,4402577,$27.10,$27.74,$26.13
10/17/2022,$25.96,3172241,$25.37,$26.41,$25.24
10/14/2022,$24.63,2778436,$25.77,$26.37,$24.63
10/13/2022,$25.56,3516164,$24.42,$26.59,$23.91
10/12/2022,$25.36,3284353,$25.96,$26.89,$25.27
10/11/2022,$25.27,4195897,$24.87,$26.30,$23.9501
10/10/2022,$25.00,2917594,$25.37,$26.50,$24.75
10/07/2022,$25.35,3270565,$25.84,$25.84,$24.42
10/06/2022,$25.99,2418721,$26.29,$26.999,$25.80
10/05/2022,$26.39,2986448,$26.77,$26.98,$25.43
10/04/2022,$27.60,4581855,$25.95,$27.825,$25.95
10/03/2022,$25.38,2653852,$25.14,$25.63,$24.21
09/30/2022,$25.13,3148331,$25.03,$25.82,$24.44
09/29/2022,$25.46,4118215,$27.08,$27.69,$24.69
09/28/2022,$27.31,2630051,$25.89,$27.50,$25.62
09/27/2022,$26.13,4487179,$25.47,$26.39,$25.13
09/26/2022,$24.48,3440279,$24.66,$25.87,$24.12
09/23/2022,$25.04,3622430,$24.15,$25.1499,$24.06
09/22/2022,$24.70,4346547,$27.17,$27.2732,$24.38
09/21/2022,$26.86,3859156,$27.45,$28.99,$26.77
09/20/2022,$27.54,3145901,$29.28,$29.33,$27.175
09/19/2022,$28.96,3403984,$28.335,$29.6459,$28.15
09/16/2022,$28.64,4656038,$28.33,$28.80,$27.7807
09/15/2022,$28.61,3329490,$27.86,$29.0734,$27.86
09/14/2022,$28.13,3605752,$27.56,$28.45,$26.65
09/13/2022,$27.85,3657164,$27.40,$28.61,$27.3204
09/12/2022,$29.24,6175210,$29.03,$30.3399,$28.00
09/09/2022,$28.92,7916490,$26.30,$29.08,$26.10
09/08/2022,$25.83,14142210,$25.00,$26.74,$24.07
09/07/2022,$24.04,12504680,$24.73,$25.19,$23.42
09/06/2022,$25.14,7010190,$25.75,$26.72,$24.6658
09/02/2022,$27.36,4680123,$28.26,$28.74,$26.93
09/01/2022,$27.63,5293858,$28.00,$28.91,$26.95
08/31/2022,$28.64,5157027,$29.25,$29.96,$28.26
08/30/2022,$29.84,5060206,$31.62,$31.8713,$29.42
08/29/2022,$31.55,4292686,$30.48,$32.7499,$30.38
08/26/2022,$30.94,4297295,$31.50,$32.38,$30.63
08/25/2022,$31.96,4726286,$32.84,$32.89,$31.5014
08/24/2022,$32.50,5620333,$34.00,$34.935,$32.44
08/23/2022,$33.53,4836309,$34.70,$34.99,$33.4512
08/22/2022,$34.50,5798630,$34.31,$36.20,$34.20
08/19/2022,$36.49,9551861,$35.18,$37.19,$34.67
08/18/2022,$37.93,8145446,$39.27,$40.07,$37.34
08/17/2022,$40.52,9766448,$42.175,$44.36,$40.41
08/16/2022,$42.19,23602780,$39.17,$45.53,$38.60
08/15/2022,$39.68,5243088,$39.75,$40.39,$38.8061
08/12/2022,$40.74,5120040,$40.00,$41.43,$39.1503
08/11/2022,$39.45,5140480,$40.91,$41.97,$39.35
08/10/2022,$40.53,5434675,$42.00,$42.00,$38.6307
08/09/2022,$40.37,6954188,$42.14,$43.1894,$39.00
08/08/2022,$43.45,18045600,$41.29,$47.99,$40.75
08/05/2022,$40.02,8124235,$37.37,$40.43,$36.56
08/04/2022,$38.36,5421500,$38.34,$39.89,$37.89
08/03/2022,$37.93,5186482,$36.22,$38.01,$36.00
